W41 Pro
W41+
W41
W31+
W31
W11
K92 5G
K62
Q52
K52
K42
K71
Wing 5G
K22
Q92 5G
Q31
K31
Velvet 5G UW
Q61
Stylo 6
Velvet
Velvet 5G
Folder 2
V60 ThinQ 5G UW
V60 ThinQ 5G
Q51
W10 Alpha
K61
K51S
K41S
G Pad 5 10.1
V50S ThinQ 5G
G8X ThinQ
Q70
K30 (2019)
K20 (2019)
K40S
K50S
W30 Pro
W30
W10
Stylo 5
V50 ThinQ 5G
G8S ThinQ
G8 ThinQ
Q60
K50
K40
Q9
V40 ThinQ
Watch W7
Tribute Empire
Candy
G7 Fit
G7 One
Q8 (2018)
K11 Plus
Q Stylo 4
Q Stylus
V35 ThinQ
Q7
G7 ThinQ
V30S ThinQ
Zone 4
X power 3
K30
K10 (2018)
K8 (2018)
Aristo 2
X4+
V30
Q8 (2017)
Q6
G Pad IV 8.0 FHD
X venture
G6
X power2
Watch Sport
Watch Style
Stylo 3 Plus
Stylus 3
Harmony
K20 plus
K10 (2017)
K8 (2017)
K7 (2017)
K4 (2017)
K3 (2017)
G Pad III 10.1 FHD
U
V20
X Skin
X5
X max
X mach
G Pad III 8.0 FHD
G Pad X 8.0
X power
X style
Stylus 2 Plus
Stylo 2
K5
K3
G5 SE
G5
X cam
X screen
K8
Stylus 2
K10
K7
K4
G Pad II 8.3 LTE
Ray
G Vista 2
G Watch R W110
Watch Urbane W150
Watch Urbane 2nd Edition LTE
V10
Nexus 5X
Zero
G Pad II 10.1
G Pad II 8.0 LTE
Wine Smart
Tribute 2
Bello II
G4 Beat
G360
G350
G4c
G4 Dual
G4
G Stylo
G4 Stylus
AKA
Watch Urbane LTE
G Watch W100
Magna
Spirit
Leon
Joy
G Flex2
Tribute
L Prime
G2 Lite
G3 Dual-LTE
G3 Screen
F60
L60
L60 Dual
G3 Stylus
L Bello
L Fino
G Pad 8.0 LTE
G Vista
G3 A
G Pad 7.0 LTE
L50
L30
L20
G Vista (CDMA)
G3 LTE-A
G3 S Dual
G3 S
L65 D280
G3 (CDMA)
G3
450
L35
Volt
G Pad 10.1 LTE
G Pad 10.1
G Pad 8.0
G Pad 7.0
L80
L80 Dual
Lucid 3 VS876
L65 Dual D285
G Pad 8.3 LTE
F70 D315
G2 mini LTE (Tegra)
G2 mini LTE
G2 mini
L90 Dual D410
L90 D405
L70 D320N
L70 Dual D325
L45 Dual X132
L40 D160
L40 Dual D170
G Pro 2
Optimus L4 II Tri E470
Optimus L1 II Tri E475
Optimus F3Q
GX F310L
Nexus 5
G Flex
Fireweb
G Pro Lite
G Pro Lite Dual
Optimus L2 II E435
Vu 3 F300L
G Pad 8.3
G2
Optimus L9 II
Enact VS890
Optimus GJ E975W
Optimus L4 II Dual E445
Optimus L4 II E440
Optimus Zone VS410
Optimus F3
Lucid2 VS870
Optimus F7
Optimus F6
Optimus F5
Optimus G Pro E985
Optimus L7 II Dual P715
Optimus L7 II P710
Optimus L5 II Dual E455
Optimus L5 II E460
Optimus L3 II Dual E435
Optimus L3 II E430
Optimus L1 II E410
Nexus 4 E960
A390
A395
C299
Tri Chip C333
Spectrum II 4G VS930
Mach LS860
Optimus L9 P769
Optimus Vu II
Optimus Vu II F200
Optimus G E970
Optimus G LS970
Optimus G E975
Intuition VS950
Splendor US730
Escape P870
Optimus L5 Dual E615
Optimus L9 P760
Motion 4G MS770
Optimus Vu P895
Optimus L3 E405
C199
T385
T375 Cookie Smart
Optimus Elite LS696
T370 Cookie Smart
Optimus LTE2
Optimus True HD LTE P936
Xpression C395
Lucid 4G VS840
Optimus M+ MS695
Optimus 4X HD P880
Optimus 3D Max P720
Optimus 3D Cube SU870
Optimus L7 P700
Optimus L5 E610
Optimus Vu F100S
Optimus LTE Tag
Optimus L3 E400
Optimus Pad LTE
Rumor Reflex LN272
Connect 4G MS840
Viper 4G LTE LS840
Spectrum VS920
X350
Prada 3.0
Nitro HD
Optimus 4G LTE P935
Optimus 2 AS680
Extravert VN271
DoublePlay
Enlighten VS700
S367
Jil Sander Mobile
Optimus Slider
Optimus LTE SU640
Optimus LTE LU6200
Optimus EX SU880
Optimus Q2 LU6500
Optimus Hub E510
Optimus Sol E730
Optimus Net Dual
Optimus Net
Esteem MS910
Marquee LS855
Optimus Black (White version)
Optimus Pro C660
S365
A350
A258
A250
A270
A290
A230
A200
A190
T515 Cookie Duo
T510
T505
EGO T500
EGO Wi-Fi
C375 Cookie Tweet
C365
C360
A100
Optimus Big LU6800
Cosmos 2
US760 Genesis
Phoenix P505
Thrive P506
Thrill 4G P925
T315
Optimus 3D P920
Optimus Pad V900
A180
A165
A160
Optimus Chat C550
A140
Optimus Me P350
Optimus Black P970
Optimus 2X SU660
Optimus 2X
Optimus Mach LU3000
Revolution
X335
C310
Cookie WiFi T310i
GU200
A120
A155
S310
P525
P520
Axis
Apex
Cosmos Touch VN270
Vortex VS660
C320 InTouch Lady
GT550 Encore
